pretax_income,tax,after_tax_income
379000.0,127727.0,251273.0
380000.0,128111.0,251889.0
381000.0,128495.0,252505.0
382000.0,128879.0,253121.0
383000.0,129263.0,253737.0
384000.0,129647.0,254353.0
385000.0,130031.0,254969.0
386000.0,130416.0,255584.0
387000.0,130800.0,256200.0
388000.0,131184.0,256816.0
389000.0,131568.0,257432.0
390000.0,131952.0,258048.0
391000.0,132336.0,258664.0
392000.0,132720.0,259280.0
393000.0,133104.0,259896.0
394000.0,133488.0,260512.0
395000.0,133872.0,261128.0
396000.0,134256.0,261744.0
397000.0,134640.0,262360.0
398000.0,135024.0,262976.0
399000.0,135408.0,263592.0
400000.0,135792.0,264208.0
401000.0,136176.0,264824.0
402000.0,136560.0,265440.0
403000.0,136944.0,266056.0
404000.0,137328.0,266672.0
405000.0,137712.0,267288.0
406000.0,138096.0,267904.0
407000.0,138480.0,268520.0
408000.0,138864.0,269136.0
409000.0,139248.0,269752.0
410000.0,139632.0,270368.0
411000.0,140016.0,270984.0
412000.0,140400.0,271600.0
413000.0,140784.0,272216.0
414000.0,141168.0,272832.0
415000.0,141552.0,273448.0
416000.0,141936.0,274064.0
417000.0,142320.0,274680.0
418000.0,142704.0,275296.0
419000.0,143088.0,275912.0
420000.0,143472.0,276528.0
421000.0,143856.0,277144.0
422000.0,144241.0,277759.0
423000.0,144625.0,278375.0
424000.0,145009.0,278991.0
425000.0,145393.0,279607.0
426000.0,145777.0,280223.0
427000.0,146161.0,280839.0
428000.0,146545.0,281455.0
429000.0,146950.0,282050.0
430000.0,147359.0,282641.0
431000.0,147768.0,283232.0
432000.0,148177.0,283823.0
433000.0,148587.0,284413.0
434000.0,148996.0,285004.0
435000.0,149405.0,285595.0
436000.0,149815.0,286185.0
437000.0,150224.0,286776.0
438000.0,150633.0,287367.0
439000.0,151042.0,287958.0
440000.0,151452.0,288548.0
441000.0,151861.0,289139.0
442000.0,152270.0,289730.0
443000.0,152679.0,290321.0
444000.0,153089.0,290911.0
445000.0,153498.0,291502.0
446000.0,153907.0,292093.0
447000.0,154316.0,292684.0
448000.0,154726.0,293274.0
449000.0,155135.0,293865.0
450000.0,155544.0,294456.0
451000.0,155954.0,295046.0
452000.0,156363.0,295637.0
453000.0,156772.0,296228.0
454000.0,157181.0,296819.0
455000.0,157591.0,297409.0
456000.0,158000.0,298000.0
457000.0,158409.0,298591.0
458000.0,158818.0,299182.0
459000.0,159228.0,299772.0
460000.0,159637.0,300363.0
461000.0,160046.0,300954.0
462000.0,160456.0,301544.0
463000.0,160865.0,302135.0
464000.0,161274.0,302726.0
465000.0,161683.0,303317.0
466000.0,162093.0,303907.0
467000.0,162502.0,304498.0
468000.0,162911.0,305089.0
469000.0,163320.0,305680.0
470000.0,163730.0,306270.0
471000.0,164139.0,306861.0
472000.0,164548.0,307452.0
473000.0,164957.0,308043.0
474000.0,165367.0,308633.0
475000.0,165776.0,309224.0
476000.0,166185.0,309815.0
477000.0,166595.0,310405.0
478000.0,167004.0,310996.0
479000.0,167413.0,311587.0
480000.0,167822.0,312178.0
481000.0,168232.0,312768.0
482000.0,168641.0,313359.0
483000.0,169050.0,313950.0
484000.0,169459.0,314541.0
485000.0,169869.0,315131.0
486000.0,170278.0,315722.0
487000.0,170687.0,316313.0
488000.0,171096.0,316904.0
489000.0,171506.0,317494.0
490000.0,171915.0,318085.0
491000.0,172324.0,318676.0
492000.0,172734.0,319266.0
493000.0,173143.0,319857.0
494000.0,173552.0,320448.0
495000.0,173961.0,321039.0
496000.0,174371.0,321629.0
497000.0,174780.0,322220.0
498000.0,175189.0,322811.0
499000.0,175598.0,323402.0
500000.0,176008.0,323992.0
501000.0,176417.0,324583.0
502000.0,176826.0,325174.0
503000.0,177236.0,325764.0
504000.0,177645.0,326355.0
505000.0,178054.0,326946.0
506000.0,178463.0,327537.0
507000.0,178873.0,328127.0
508000.0,179282.0,328718.0
509000.0,179691.0,329309.0
510000.0,180100.0,329900.0
511000.0,180510.0,330490.0
512000.0,180919.0,331081.0
513000.0,181328.0,331672.0
514000.0,181737.0,332263.0
515000.0,182147.0,332853.0
516000.0,182556.0,333444.0
517000.0,182965.0,334035.0
518000.0,183375.0,334625.0
519000.0,183784.0,335216.0
520000.0,184193.0,335807.0
521000.0,184602.0,336398.0
522000.0,185012.0,336988.0
523000.0,185421.0,337579.0
524000.0,185830.0,338170.0
525000.0,186239.0,338761.0
526000.0,186649.0,339351.0
527000.0,187058.0,339942.0
528000.0,187467.0,340533.0
529000.0,187876.0,341124.0
530000.0,188286.0,341714.0
531000.0,188695.0,342305.0
532000.0,189104.0,342896.0
533000.0,189514.0,343486.0
534000.0,189923.0,344077.0
535000.0,190332.0,344668.0
536000.0,190741.0,345259.0
537000.0,191151.0,345849.0
538000.0,191560.0,346440.0
539000.0,191969.0,347031.0
540000.0,192378.0,347622.0
541000.0,192788.0,348212.0
542000.0,193197.0,348803.0
543000.0,193606.0,349394.0
544000.0,194015.0,349985.0
545000.0,194425.0,350575.0
546000.0,194834.0,351166.0
547000.0,195243.0,351757.0
548000.0,195653.0,352347.0
549000.0,196062.0,352938.0
550000.0,196471.0,353529.0
551000.0,196880.0,354120.0
552000.0,197290.0,354710.0
553000.0,197699.0,355301.0
554000.0,198108.0,355892.0
555000.0,198517.0,356483.0
556000.0,198927.0,357073.0
557000.0,199336.0,357664.0
558000.0,199745.0,358255.0
559000.0,200155.0,358845.0
560000.0,200564.0,359436.0
561000.0,200973.0,360027.0
562000.0,201382.0,360618.0
563000.0,201792.0,361208.0
564000.0,202201.0,361799.0
565000.0,202610.0,362390.0
566000.0,203019.0,362981.0
567000.0,203429.0,363571.0
568000.0,203838.0,364162.0
569000.0,204247.0,364753.0
570000.0,204656.0,365344.0
571000.0,205066.0,365934.0
572000.0,205475.0,366525.0
573000.0,205884.0,367116.0
574000.0,206294.0,367706.0
575000.0,206703.0,368297.0
576000.0,207112.0,368888.0
577000.0,207521.0,369479.0
578000.0,207931.0,370069.0
579000.0,208340.0,370660.0
580000.0,208749.0,371251.0
581000.0,209158.0,371842.0
582000.0,209568.0,372432.0
583000.0,209977.0,373023.0
584000.0,210386.0,373614.0
585000.0,210795.0,374205.0
586000.0,211205.0,374795.0
587000.0,211614.0,375386.0
588000.0,212023.0,375977.0
589000.0,212433.0,376567.0
590000.0,212842.0,377158.0
591000.0,213251.0,377749.0
592000.0,213660.0,378340.0
593000.0,214070.0,378930.0
594000.0,214479.0,379521.0
595000.0,214888.0,380112.0
596000.0,215297.0,380703.0
597000.0,215707.0,381293.0
598000.0,216116.0,381884.0
599000.0,216525.0,382475.0
600000.0,216935.0,383065.0
601000.0,217344.0,383656.0
602000.0,217753.0,384247.0
603000.0,218162.0,384838.0
604000.0,218572.0,385428.0
605000.0,218981.0,386019.0
606000.0,219390.0,386610.0
607000.0,219799.0,387201.0
608000.0,220209.0,387791.0
609000.0,220618.0,388382.0
610000.0,221027.0,388973.0
611000.0,221436.0,389564.0
612000.0,221846.0,390154.0
613000.0,222255.0,390745.0
614000.0,222664.0,391336.0
615000.0,223074.0,391926.0
616000.0,223483.0,392517.0
617000.0,223892.0,393108.0
618000.0,224301.0,393699.0
619000.0,224798.0,394202.0
620000.0,225345.0,394655.0
621000.0,225892.0,395108.0
